epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3351,1.41368,10.1858,0.70979,1.17153,1.82316,0.90977,0.96721,0.97863,0.62494,0,0,0,0,1.3476,11.1371,0.67805,0.64941,2.22274,0.00026,0.00026,0.00026
2,112.782,1.09705,9.76552,0.70076,0.81113,1.57421,0.65837,0.69509,0.59137,0.16081,0,0,0,0,3.18457,11.0148,0.68012,1.35255,5.51098,0.000531647,0.000531647,0.000531647
3,168.287,1.10185,9.16057,0.6776,0.82056,1.60899,0.82891,0.79431,0.80776,0.35989,0,0,0,0,1.87151,9.93224,0.59522,1.18931,3.43004,0.000794631,0.000794631,0.000794631
4,224.116,1.13883,8.99629,0.65651,0.79071,1.60738,0.83118,0.91803,0.87494,0.41636,0,0,0,0,1.78612,9.39589,0.50893,1.15884,3.15595,0.00104895,0.00104895,0.00104895
5,282.431,1.10651,8.73693,0.64057,0.85384,1.5765,0.88267,0.86333,0.90714,0.54423,0,0,0,0,1.38608,9.94268,0.34125,1.04083,2.79224,0.00129461,0.00129461,0.00129461
6,338.63,1.10308,8.58649,0.62001,0.87003,1.55552,0.8864,0.89549,0.91981,0.54676,0,0,0,0,1.60219,9.92075,0.37282,1.09136,3.48276,0.00153161,0.00153161,0.00153161
7,394.369,1.15289,8.23338,0.61588,0.88979,1.64215,0.62677,0.77083,0.71895,0.27816,0,0,0,0,1.87545,8.95346,0.37334,2.00977,3.71353,0.00175994,0.00175994,0.00175994
8,449.735,1.15647,8.01462,0.59509,0.93072,1.6534,0.44714,0.70492,0.49322,0.15453,0,0,0,0,2.19349,9.09536,0.55937,1.99393,3.50009,0.00178344,0.00178344,0.00178344
9,504.847,1.13845,7.82181,0.5706,0.93434,1.61658,0.77339,0.85246,0.85092,0.34768,0,0,0,0,1.82688,9.22648,0.51008,1.27211,3.15196,0.0017525,0.0017525,0.0017525
10,559.382,1.06148,7.72617,0.56072,0.85012,1.57234,0.85424,0.76861,0.86133,0.42097,0,0,0,0,1.71028,8.20046,0.39594,1.39577,3.15131,0.00172156,0.00172156,0.00172156
11,614.166,1.09496,7.62426,0.55158,0.87994,1.59538,0.88583,0.93443,0.95668,0.62799,0,0,0,0,1.26367,7.63688,0.37024,1.16076,2.48826,0.00169063,0.00169063,0.00169063
